Route,Mode,Avg Frequency Mon 7-8,Avg Frequency Mon 12-1,Avg Frequency Mon 12-1,Morning 7-8 (Saturday),Daytime 12-1 (Saturday),Evening (Saturday),Morning 7-8 (Sunday),Daytime 12-1 (Sunday),Evening (Sunday),AM Peak Median Gap (min),PM Peak Median Gap (min),Weekly Total Services,Weekly Distance (km),Weekly Service Hours,Average Speed (km/h)
889,Bus,43,40,40.5,38.5,40,41,43.5,39.5,41.5,47,41,326,2667,101,26.41
890,Bus,38.5,40,61,60,60,59.5,60,60,59.5,40,40,291,3904,145,26.92
891,Bus,40,40,52.5,40,40,50,,40,50,40,40,319,4426,180,24.59
892,Bus,30,30,29,60,60,65,60,60,65,30,30,385,6134,265,23.15
893,Bus,21,20,18.5,20,20,29,,20,29,20,20,616,12270,463,26.5
894,Bus,39.5,40,35.5,77,60,60,,60,60,42,30,319,3745,139,26.94
895,Bus,40,40,37,76,60,60,,60,60,43,32,324,3487,142,24.56
897,Bus,22,20,18.5,20,20,23.5,,20,23.5,20,20,626,11602,439,26.43
898,Bus,21,20,23.5,42,40,50.5,,40,50.5,20,20,532,5925,278,21.31
899,Bus,36.5,43,47.5,46.5,40,47.5,,40,58.5,42,36,303,2747,111,24.75
900,Bus,11,15,13,31,29.5,29,28,29.5,29,10,10,957,20944,850,24.64
901,Bus,15,14.5,12.5,28,31,28.5,27.5,30,28,15,15,1109,98159,3558,27.59
902,Bus,16,15,13,28.5,30.5,29,29,31.5,29.5,17,15,951,64349,2562,25.12
903,Bus,12.5,14.5,13,25.5,28,26.5,26.5,31.5,27,12,10,1226,78181,3659,21.37
905,Bus,13,15.5,14,19,15,14.5,24,15,14.5,11,13,989,25106,904,27.77
906,Bus,12.5,15,14,30.5,30.5,30,30,30.5,29.5,7,13,915,30308,910,33.31
907,Bus,11,15,14,23.5,15,14.5,27.5,15.5,29,8,11,1052,27237,1022,26.65
908,Bus,13,15,14,30,30,29,30,31,29.5,11,13,874,10946,376,29.11
922,Bus,62,60,75.5,67.5,60,,,79.5,,65,56,180,4366,191,22.86
923,Bus,52,60,57,,60,,,80,,59,59,163,3775,159,23.74
925,Bus,60,60,59.5,59,60,61.5,,60,59,60,60,234,2629,95,27.67
926,Bus,71,65,56.5,70.5,59.5,52,,60,51.5,64,58,244,5364,175,30.65
927,Bus,60,60,60.5,77.5,60,66.5,,60,66.5,66.5,55,219,1441,53,27.19
928,Bus,41,38.5,40,41.5,40,39.5,43,40,39,38,39,347,7570,304,24.9
929,Bus,70,60,54.5,77.5,60,60,,60,59.5,64.5,58,228,1168,43,27.16
941,Bus,,,,,,,,,,,,20,285,9,31.67
943,Bus,,,,,,,,,,,,19,580,16,36.25
947,Bus,,,,,,,,,,,,21,242,8,30.25
949,Bus,,,,,,,,,,,,10,252,9,28
951,Bus,,,,,,,,,,,,14,159,7,22.71
953,Bus,,,,,,,,,,,,16,266,8,33.25
959,Bus,,,,,,,,,,,,21,380,14,27.14
96,Tram,7.5,8,10.5,15,10,11.5,24.5,10,18,6,7,1742,25358,1548,16.38
965,Bus,,,,,,,,,,,,10,606,14,43.29
967,Bus,,,,,,,,,,,,22,574,20,28.7
978,Bus,,,,,,,,,,,,20,304,9,33.78
979,Bus,,,,,,,,,,,,20,333,11,30.27
981,Bus,,,,,,,,,,,,18,638,18,35.44
982,Bus,,,,,,,,,,,,18,545,18,30.28
Alamein,Metro Train,19,15.5,28.5,20,20,24,32,20,24,19,15,864,8221,257,31.99
Albury,V/Line Train,,,,70,,,,,,,,39,13345,144,92.67
Ararat,V/Line Train,43,,82,86,,,84.5,,,43,80,70,13811,168,82.21
Avalon City Express,SkyBus,,90,,,90,,,90,,,35,98,5354,114,46.96
Bairnsdale,V/Line Train,,,,,,,,,,,,42,11401,165,69.1
Ballarat,V/Line Train,50.5,50.5,41,43.5,60,45,43.5,60,45,40,27,395,42733,575,74.32
Belgrave,Metro Train,22,30,36,34,20,61,30,20,61,10,15,763,29255,749,39.06
Belgrave/Lilydale,Metro Train,8.5,12.5,13,21,10,20.5,38,10,20.5,5,6,1999,43567,1184,36.8
Bendigo,V/Line Train,31,89.5,56.5,106,79.5,79.5,98,79.5,65,29,37,228,35375,429,82.46
Craigieburn,Metro Train,9,20,14.5,20,20,20,28.5,20,20,8,8,1148,32355,848,38.15
Cranbourne,Metro Train,13,20,17.5,21,20,20,25.5,20,20,10,12,975,40379,880,45.89
Cranbourne/Pakenham,Metro Train,6.5,10,8.5,10.5,10,10,13.5,10,10,4,5,2133,58846,1430,41.15
Eastern Express,SkyBus,61,51.5,47.5,60,62.5,60,60,62.5,60,57,30,298,13731,375,36.62
